spell,first,rank
2050,2050,1
2052,2050,2
2053,2050,3
2054,2054,1
2055,2054,2
2060,2060,1
2061,2061,1
2070,6770,2
2075,2075,1
2090,774,4
2091,774,5
2096,2096,1
2098,2098,1
2108,2108,1
2120,2120,1
2121,2120,2
2124,2124,1
2125,2124,2
2136,2136,1
2137,2136,2
2138,2136,3
2141,2141,1
2142,2141,2
2143,2141,3
2259,2259,1
2362,2362,1
2366,2366,1
2368,2366,2
2550,2550,1
2575,2575,1
2576,2575,2
2589,53,2
2590,53,3
2591,53,4
2606,2607,2
2607,2607,1
2608,2607,3
2609,2607,4
2610,2607,5
2637,2637,1
2643,2643,1
2649,2649,1
2767,589,5
2791,1243,4
2800,633,2
2812,2812,1
2818,2818,1
2819,2818,2
2823,2823,1
2824,2823,2
2860,421,3
2908,2908,1
2912,2912,1
2941,348,4
2944,2944,1
2947,2947,1
2948,2948,1
2949,2949,1
2973,2973,1
2975,2980,5
2976,2980,6
2977,2980,7
2980,2980,1
2981,2980,2
2982,2980,3
2983,2983,1
3009,16827,8
3010,16827,7
3011,3011,1
3029,1082,2
3044,3044,1
3100,2018,2
3101,2259,2
3102,2550,2
3104,2108,2
3110,3110,1
3111,136,2
3140,133,4
3267,746,3
3268,746,4
3273,3273,1
3274,3273,2
3355,3355,1
3413,2550,3
3464,2259,3
3472,635,6
3538,2018,3
3552,759,2
3564,2575,3
3570,2366,3
3599,3599,1
3606,3606,1
3627,774,6
3661,136,3
3662,136,4
3666,2980,8
3667,2980,4
3674,3674,1
3698,755,2
3699,755,3
3700,755,4
3716,3716,1
3747,17,4
3811,2108,3
3908,3908,1
3909,3908,2
3910,3908,3
4036,4036,1
4037,4036,2
4038,4036,3
4107,4107,1
4108,4107,2
4109,4107,3
4111,4107,4
4112,4112,1
4113,4112,2
4114,4112,4
4115,4112,3
4195,4195,1
4196,4195,2
4197,4195,3
4198,4195,4
4199,4195,5
4200,4195,6
4201,4195,7
4202,4195,8
4548,4548,1
5048,4195,9
5049,4195,10
5143,5143,1
5144,5143,2
5145,5143,3
5171,5171,1
5176,5176,1
5177,5176,2
5178,5176,3
5179,5176,4
5180,5176,5
5185,5185,1
5186,5185,2
5187,5185,3
5188,5185,4
5189,5185,5
5195,339,3
5196,339,4
5201,1082,3
5211,5211,1
5217,5217,1
5221,5221,1
5232,1126,2
5234,1126,4
5242,6673,2
5277,5277,1
5308,5308,1
5363,5363,1
5364,5364,1
5365,5363,2
5366,5363,3
5367,5363,4
5368,5364,2
5369,5364,3
5370,5364,4
5374,5374,1
5394,5394,1
5405,5405,1
5480,5508,2
5484,5484,1
5487,5487,1
5504,5504,1
5505,5504,2
5506,5504,3
5508,5508,1
5570,5570,1
5588,853,2
5589,853,3
5597,5597,1
5598,5597,2
5599,1022,2
5614,879,2
5615,879,3
5648,5648,1
5649,5648,2
5672,5672,1
5675,5675,1
5676,5676,1
5677,5677,1
5699,6201,3
5726,5726,1
5727,5726,2
5728,5728,1
5729,5729,1
5730,5730,1
5740,5740,1
5782,5782,1
5857,5857,1
6041,403,6
6060,585,6
6063,2054,3
6064,2054,4
6065,17,5
6066,17,6
6074,139,2
6075,139,3
6076,139,4
6077,139,5
6078,139,6
6117,6117,1
6121,6121,1
6127,5504,4
6129,587,4
6131,122,3
6132,1194,3
6141,10,2
6142,1196,2
6143,6143,1
6144,6144,1
6146,246,2
6178,100,2
6190,1160,2
6192,6673,3
6201,6201,1
6202,6201,2
6205,702,3
6213,5782,2
6215,5782,3
6217,980,3
6219,5740,2
6222,172,2
6223,172,3
6229,6229,1
6280,6280,1
6281,6280,2
6282,6280,3
6283,6280,4
6286,6280,5
6307,6307,1
6311,6311,1
6314,6311,2
6315,6311,3
6316,6311,4
6317,6311,5
6328,6328,1
6331,6328,2
6332,6328,3
6333,6328,4
6334,6328,5
6343,6343,1
6350,3606,2
6351,3606,3
6352,3606,4
6353,6353,1
6360,6360,1
6362,6362,1
6363,3599,2
6364,3599,3
6365,3599,4
6366,6366,1
6371,5672,2
6372,5672,3
6375,5394,2
6377,5394,3
6390,5730,2
6391,5730,3
6392,5730,4
6393,5729,2
6394,5729,3
6395,5729,4
6397,5728,2
6398,5728,3
6399,5728,4
6443,6443,1
6444,6443,2
6445,6443,3
6446,6443,4
6447,6443,5
6460,1809,3
6546,772,2
6547,772,3
6548,772,4
6554,13491,2
6555,13491,3
6572,6572,1
6574,6572,2
6673,6673,1
6756,1126,3
6760,2098,2
6761,2098,3
6762,2098,4
6768,1966,2
6770,6770,1
6774,5171,2
6778,5185,6
6780,5176,6
6785,6785,1
6787,6785,2
6789,6789,1
6793,5217,2
6798,5211,2
6800,5221,2
6807,6807,1
6808,6807,2
6809,6807,3
6964,6964,1
6966,6966,1
6979,3011,2
6980,3011,3
7001,7001,1
7128,588,2
7230,7230,1
7231,7230,2
7232,7230,3
7233,7230,4
7234,7230,5
7235,7235,1
7236,7240,2
7237,7240,4
7238,7240,3
7239,7240,5
7240,7240,1
7241,7235,2
7242,7235,3
7243,7235,4
7244,7235,5
7245,7245,1
7246,7245,2
7247,7245,3
7248,7245,4
7249,7245,5
7250,7250,1
7251,7250,2
7252,7250,3
7253,7250,4
7254,7250,5
7268,7268,1
7269,7268,2
7270,7268,3
7294,7294,1
7300,168,2
7301,168,3
7302,7302,1
7320,7302,2
7322,116,4
7328,7328,1
7369,845,2
7370,7370,1
7379,6572,3
7411,7411,1
7412,7411,2
7413,7411,3
7620,7620,1
7641,686,6
7646,702,4
7648,172,4
7651,689,4
7731,7620,2
7732,7620,3
7799,3110,2
7800,3110,3
7801,3110,4
7802,3110,5
7804,6307,2
7805,6307,3
7806,7806,1
7807,7806,2
7808,7806,3
7809,3716,2
7810,3716,3
7811,3716,4
7812,7812,1
7813,6360,2
7814,7814,1
7815,7814,2
7816,7814,3
7829,7829,1
7874,7829,2
7875,7829,3
7876,7876,1
7877,7876,2
7878,7876,3
7879,6362,2
7881,7881,1
7882,7881,2
7883,7881,3
7884,7881,4
7885,7885,1
7924,3273,3
7926,746,5
7927,746,6
8004,8004,1
8005,331,7
8008,8004,2
8010,8004,3
8012,370,2
8017,8017,1
8018,8017,2
8019,8017,3
8024,8024,1
8026,8026,1
8027,8024,2
8028,8026,2
8029,8026,3
8030,8024,3
8033,8033,1
8034,8034,1
8037,8034,2
8038,8033,2
8042,8042,1
8044,8042,2
8045,8042,3
8046,8042,4
8050,8050,1
8052,8050,2
8053,8050,3
8056,8056,1
8058,8056,2
8071,8071,1
8072,8072,1
8073,8073,1
8075,8075,1
8076,8076,1
8091,8091,1
8092,8092,1
8094,8091,2
8095,8091,3
8096,8096,1
8097,8096,2
8098,8096,3
8099,8099,1
8100,8099,2
8101,8099,3
8102,8092,2
8103,8092,3
8104,8092,4
8105,8092,5
8106,8092,6
8112,8112,1
8113,8112,2
8114,8112,3
8115,8115,1
8116,8115,2
8117,8115,3
8118,8118,1
8119,8118,2
8120,8118,3
8122,8122,1
8124,8122,2
8134,324,5
8154,8071,2
8155,8071,3
8156,8072,2
8157,8072,3
8160,8075,2
8161,8075,3
8162,8076,2
8163,8076,3
8181,8181,1
8182,8182,1
8184,8184,1
8185,8185,1
8187,8187,1
8188,8188,1
8190,8190,1
8198,6343,2
8204,6343,3
8205,6343,4
8227,8227,1
8232,8232,1
8235,8232,2
8249,8227,2
8288,1120,2
8289,1120,3
8316,2947,2
8317,2947,3
8318,2949,2
8319,2949,3
8349,8349,1
8400,133,5
8401,133,6
8402,133,7
8406,116,5
8407,116,6
8408,116,7
8412,2136,4
8413,2136,5
8414,2141,4
8415,2141,5
8416,5143,4
8417,5143,5
8418,7268,5
8419,7268,4
8422,2120,3
8423,2120,4
8425,2124,3
8426,2124,4
8427,10,3
8428,1196,3
8437,1449,2
8438,1449,3
8439,1449,4
8440,1467,2
8441,1467,3
8442,1467,4
8444,2948,2
8445,2948,3
8446,2948,4
8447,1811,2
8448,1811,3
8449,1811,4
8450,604,2
8451,604,3
8452,1266,2
8453,1266,3
8455,1008,2
8456,1267,2
8457,543,2
8458,543,3
8459,1035,2
8460,1035,3
8461,6143,2
8462,6143,3
8463,6144,2
8464,6144,3
8492,120,2
8493,1241,2
8494,1463,2
8495,1463,3
8496,1481,2
8497,1481,3
8498,1535,2
8499,1535,3
8502,8349,2
8503,8349,3
8613,8613,1
8617,8613,2
8618,8613,3
8621,1752,6
8623,2098,5
8624,2098,6
8631,703,2
8632,703,3
8633,703,4
8637,1966,3
8639,1943,2
8640,1943,3
8643,408,2
8676,8676,1
8679,8679,1
8680,8680,1
8685,8680,2
8686,8679,2
8688,8679,3
8689,8680,3
8696,2983,2
8721,53,5
8724,8676,2
8725,8676,3
8820,1464,2
8903,5185,7
8905,5176,7
8907,1126,5
8910,774,7
8914,467,4
8918,740,2
8921,8921,1
8924,8921,2
8925,8921,3
8926,8921,4
8927,8921,5
8928,8921,6
8929,8921,7
8936,8936,1
8938,8936,2
8939,8936,3
8940,8936,4
8941,8936,5
8949,2912,2
8950,2912,3
8951,2912,4
8955,2908,2
8972,6807,4
8983,5211,3
8992,5221,3
8998,8998,1
9000,8998,2
9005,9005,1
9007,9007,1
9257,17233,2
9472,2061,2
9473,2061,3
9474,2061,4
9484,9484,1
9485,9484,2
9490,99,3
9492,1079,2
9493,1079,3
9634,5487,2
9745,6807,5
9747,99,4
9750,8936,6
9752,1079,4
9754,779,4
9756,467,5
9758,5185,8
9785,2018,4
9821,1850,2
9823,9005,2
9824,9007,2
9826,9007,3
9827,9005,3
9829,5221,4
9830,5221,5
9833,8921,8
9834,8921,9
9835,8921,10
9839,774,8
9840,774,9
9841,774,10
9845,5217,3
9846,5217,4
9849,1082,4
9850,1082,5
9852,339,5
9853,339,6
9856,8936,7
9857,8936,8
9858,8936,9
9862,740,3
9863,740,4
9866,6785,3
9867,6785,4
9875,2912,5
9876,2912,6
9880,6807,6
9881,6807,7
9884,1126,6
9885,1126,7
9888,5185,9
9889,5185,10
9892,8998,3
9894,1079,5
9896,1079,6
9898,99,5
9901,2908,3
9904,1822,4
9908,779,5
9910,467,6
9912,5176,8
10052,5405,2
10053,759,3
10054,759,4
10057,5405,3
10058,5405,4
10138,5504,5
10139,5504,6
10140,5504,7
10144,587,5
10145,587,6
10148,133,8
10149,133,9
10150,133,10
10151,133,11
10156,1459,4
10157,1459,5
10158,1472,5
10159,120,3
10160,120,4
10161,120,5
10162,1241,3
10163,1241,4
10164,1241,5
10165,491,3
10166,491,4
10169,1008,3
10170,1008,4
10171,1267,3
10172,1267,4
10173,604,4
10174,604,5
10175,1266,4
10176,1266,5
10177,6143,4
10178,6144,4
10179,116,8
10180,116,9
10181,116,10
10185,10,4
10186,10,5
10187,10,6
10188,1196,4
10189,1196,5
10190,1196,6
10191,1463,4
10192,1463,5
10193,1463,6
10194,1481,4
10195,1481,5
10196,1481,6
10197,2136,6
10198,2141,6
10199,2136,7
10200,2141,7
10201,1449,5
10202,1449,6
10203,1467,5
10204,1467,6
10205,2948,5
10206,2948,6
10207,2948,7
10208,1811,5
10209,1811,6
10210,1811,7
10211,5143,6
10212,5143,7
10215,2120,5
10216,2120,6
10217,2124,5
10218,2124,6
10219,7302,3
10220,7302,4
10221,1214,3
10222,1214,4
10223,543,4
10224,1035,4
10225,543,5
10226,1035,5
10230,122,4
10231,1194,4
10248,2575,4
10273,7268,6
10274,7268,7
10278,1022,3
10290,465,2
10291,465,4
10292,465,6
10293,465,7
10298,7294,2
10299,7294,3
10300,7294,4
10301,7294,5
10308,853,4
10310,633,3
10312,879,4
10313,879,5
10314,879,6
10318,2812,2
10322,7328,2
10324,7328,3
10328,635,7
10329,635,8
10391,403,7
10392,403,8
10395,331,8
10396,331,9
10399,8017,4
10400,10400,1
10403,8072,4
10404,8072,5
10405,8072,6
10406,8071,4
10407,8071,5
10408,8071,6
10412,8042,5
10413,8042,6
10414,8042,7
10423,5729,5
10424,5729,6
10425,5728,5
10426,5728,6
10427,5730,5
10428,5730,6
10431,324,6
10432,324,7
10435,3606,5
10436,3606,6
10437,3599,5
10438,3599,6
10441,8076,4
10442,8075,4
10445,8026,4
10447,8050,4
10448,8050,5
10456,8033,3
10458,8034,3
10460,5672,4
10461,5672,5
10462,5394,4
10463,5394,5
10466,8004,4
10467,8004,5
10468,8004,6
10472,8056,3
10473,8056,4
10476,8182,2
10477,8182,3
10478,8181,2
10479,8181,3
10486,8232,3
10491,5677,2
10493,5677,3
10494,5677,4
10495,5675,2
10496,5675,3
10497,5675,4
10526,8227,3
10534,8185,2
10535,8185,3
10537,8184,2
10538,8184,3
10579,8187,2
10580,8187,3
10581,8187,4
10582,8188,2
10583,8188,3
10584,8188,4
10585,8190,2
10586,8190,3
10587,8190,4
10595,10595,1
10596,10596,1
10598,10596,2
10599,10596,3
10600,10595,2
10601,10595,3
10605,421,4
10622,1064,2
10623,1064,3
10662,2108,4
10768,8613,4
10838,746,7
10839,746,8
10846,3273,4
10880,2006,3
10881,2006,4
10888,8122,3
10890,8122,4
10892,589,6
10893,589,7
10894,589,8
10898,17,7
10899,17,8
10900,17,9
10901,17,10
10909,2096,2
10915,2061,5
10916,2061,6
10917,2061,7
10927,139,7
10928,139,8
10929,139,9
10933,585,7
10934,585,8
10937,1243,5
10938,1243,6
10945,8092,7
10946,8092,8
10947,8092,9
10951,588,5
10952,588,6
10955,9484,3
10957,976,2
10958,976,3
10960,596,3
10961,596,4
10963,2060,2
10964,2060,3
10965,2060,4
11113,11113,1
11267,8676,4
11268,8676,5
11269,8676,6
11273,1943,4
11274,1943,5
11275,1943,6
11279,53,6
11280,53,7
11281,53,8
11289,703,5
11290,703,6
11293,1752,7
11294,1752,8
11297,6770,3
11299,2098,7
11300,2098,8
11303,1966,4
11305,2983,3
11306,8349,4
11307,8349,5
11314,1535,4
11315,1535,5
11327,11327,1
11329,11327,2
11335,8680,4
11336,8680,5
11337,8680,6
11338,8679,4
11339,8679,5
11340,8679,6
11353,2818,3
11354,2818,4
11355,2823,3
11356,2823,4
11366,11366,1
11413,6964,2
11414,6964,3
11415,6964,4
11426,11426,1
11469,11539,4
11470,11539,3
11471,11539,2
11539,11539,1
11549,6673,4
11550,6673,5
11551,6673,6
11554,1160,3
11555,1160,4
11556,1160,5
11564,78,5
11565,78,6
11566,78,7
11567,78,8
11572,772,5
11573,772,6
11574,772,7
11578,100,3
11580,6343,5
11581,6343,6
11600,6572,4
11601,6572,5
11604,1464,3
11605,1464,4
11608,845,3
11609,845,4
11611,2259,4
11659,686,7
11660,686,8
11661,686,9
11665,348,5
11667,348,6
11668,348,7
11671,172,5
11672,172,6
11675,1120,4
11677,5740,3
11678,5740,4
11681,5857,2
11682,5857,3
11683,1949,2
11684,1949,3
11687,1454,4
11688,1454,5
11689,1454,6
11693,755,5
11694,755,6
11695,755,7
11699,689,5
11700,689,6
11707,702,5
11708,702,6
11711,980,4
11712,980,5
11713,980,6
11719,1714,2
11721,1490,2
11722,1490,3
11725,1098,2
11726,1098,3
11729,6201,4
11730,6201,5
11733,706,3
11734,706,4
11735,706,5
11739,6229,2
11740,6229,3
11762,3110,6
11763,3110,7
11766,6307,4
11767,6307,5
11770,2947,4
11771,2947,5
11772,2949,4
11773,2949,5
11774,3716,5
11775,3716,6
11776,7881,5
11777,7881,6
11778,7814,4
11779,7814,5
11780,7814,6
11781,7876,4
11782,7876,5
11783,7876,6
11784,6360,3
11785,6360,4
11786,6362,3
11787,6362,4
11993,2366,4
12162,12162,1
12174,8115,4
12175,8091,4
12176,8096,4
12177,8112,4
12178,8099,4
12179,8118,4
12180,3908,4
12294,12294,1
12303,12303,1
12325,12325,1
12327,12327,1
12484,12484,1
12485,12484,2
12486,12484,3
12505,11366,2
12522,11366,3
12523,11366,4
12524,11366,5
12525,11366,6
12526,11366,7
12656,4036,4
12695,12695,1
12696,12695,2
12788,12303,2
12789,12303,3
12824,118,2
12825,118,3
12826,118,4
12850,12162,2
12863,12325,2
12864,12325,3
12865,12325,4
12866,12325,5
12868,12162,3
12880,12880,1
12886,12327,2
12966,12966,1
12967,12966,2
12968,12966,3
12969,12966,4
12970,12966,5
13018,11113,2
13019,11113,3
13020,11113,4
13021,11113,5
13031,11426,2
13032,11426,3
13033,11426,4
13165,13165,1
13218,13218,1
13219,13219,1
13222,13218,2
13223,13218,3
13224,13218,4
13225,13219,2
13226,13219,3
13227,13219,4
13424,13424,1
13491,13491,1
13542,136,5
13543,136,6
13544,136,7
13549,1978,2
13550,1978,3
13551,1978,4
13552,1978,5
13553,1978,6
13554,1978,7
13555,1978,8
13752,13424,2
13795,13795,1
13797,13797,1
13812,13812,1
13813,13813,1
13920,7411,4
14143,14143,1
14149,14143,2
14201,12880,2
14202,12880,3
14203,12880,4
14204,12880,5
14260,2973,2
14261,2973,3
14262,2973,4
14263,2973,5
14264,2973,6
14265,2973,7
14266,2973,8
14269,1495,2
14270,1495,3
14271,1495,4
14281,3044,2
14282,3044,3
14283,3044,4
14284,3044,5
14285,3044,6
14286,3044,7
14287,3044,8
14288,2643,2
14289,2643,3
14290,2643,4
14294,1510,2
14295,1510,3
14298,13797,2
14299,13797,3
14300,13797,4
14301,13797,5
14302,13795,2
14303,13795,3
14304,13795,4
14305,13795,5
14308,3355,2
14309,3355,3
14310,1499,2
14311,1499,3
14314,13812,2
14315,13812,3
14316,13813,2
14317,13813,3
14318,13165,2
14319,13165,3
14320,13165,4
14321,13165,5
14322,13165,6
14323,1130,2
14324,1130,3
14325,1130,4
14326,1513,2
14327,1513,3
14524,14524,1
14525,14524,2
14526,14524,3
14527,14524,4
14528,14524,5
14743,14743,1
14752,14752,1
14818,14752,2
14819,14752,3
14893,14893,1
14904,14904,1
14914,14914,1
14916,2649,2
14917,2649,3
14918,2649,4
14919,2649,5
14920,2649,6
14921,2649,7
14922,1853,2
14923,1853,3
14924,1853,4
14925,1853,5
14926,1853,6
14927,1853,7
15024,14904,2
15025,14904,3
15026,14904,4
15027,14904,5
15207,403,9
15208,403,10
15237,15237,1
15261,14914,8
15262,14914,2
15263,14914,3
15264,14914,4
15265,14914,5
15266,14914,6
15267,14914,7
15357,14893,2
15359,14893,3
15407,15407,1
15430,15237,2
15431,15237,3
15567,10400,2
15568,10400,3
15569,10400,4
16177,16177,1
16236,16177,2
16237,16177,3
16253,16253,1
16257,16257,1
16277,16257,2
16278,16257,3
16279,16257,4
16280,16257,5
16298,16253,2
16311,10400,5
16312,10400,6
16313,10400,7
16339,8024,4
16341,8024,5
16342,8024,6
16343,8026,5
16344,8026,6
16352,8034,4
16353,8034,5
16355,8033,4
16356,8033,5
16362,8232,4
16387,8227,4
16511,16511,1
16689,16689,1
16698,1747,6
16734,16734,1
16735,16734,2
16736,16734,3
16737,16734,4
16738,16734,5
16810,16689,2
16811,16689,3
16812,16689,4
16813,16689,5
16827,16827,1
16828,16827,2
16829,16827,3
16830,16827,4
16831,16827,5
16832,16827,6
16914,16914,1
16952,16952,1
16954,16952,2
16958,16958,1
16961,16958,2
17080,17080,1
17233,17233,1
17253,17253,1
17254,17254,1
17255,17253,2
17256,17253,3
17257,17253,4
17258,17253,5
17259,17253,6
17260,17253,7
17261,17253,8
17262,17254,2
17263,17254,3
17264,17254,4
17265,17254,5
17266,17254,6
17267,17254,7
17268,17254,8
17311,15407,2
17312,15407,3
17313,15407,4
17314,15407,5
17329,16689,6
17347,16511,2
17348,16511,3
17401,16914,2
17402,16914,3
17427,17427,1
17428,17427,2
17429,17427,3
17545,7245,6
17727,2362,2
17728,2362,3
17735,17735,1
17736,17736,1
17750,17735,2
17751,17735,3
17752,17735,4
17753,17736,2
17754,17736,3
17755,17736,4
17767,17767,1
17776,17776,1
17850,17767,2
17851,17767,3
17852,17767,4
17853,17767,5
17854,17767,6
17855,17776,2
17856,17776,3
17857,17776,4
17859,17776,5
17860,17776,6
17877,17877,1
17919,5676,2
17920,5676,3
17921,5676,4
17922,5676,5
17923,5676,6
17924,6353,2
17925,6789,2
17926,6789,3
17928,5484,2
17951,6366,2
17952,6366,3
17953,6366,4
18220,18220,1
18248,7620,4
18260,2550,4
18469,18469,1
18608,746,9
18610,746,10
18647,710,2
18657,2637,2
18658,2637,3
18807,15407,6
18809,11366,8
18867,17877,2
18868,17877,3
18869,17877,4
18870,17877,5
18871,17877,6
18937,18220,2
18938,18220,3
19236,19236,1
19238,19236,2
19240,19236,3
19241,19236,4
19242,19236,5
19243,19236,6
19244,19244,1
19276,2944,2
19277,2944,3
19278,2944,4
19279,2944,5
19280,2944,6
19306,19306,1
19381,19381,1
19382,19381,2
19383,19381,3
19384,19381,4
19385,19381,5
19386,19386,1
19434,19434,1
19438,7812,2
19439,7885,2
19440,7812,3
19441,7812,4
19442,7812,5
19443,7812,6
19444,7885,3
19445,7885,4
19446,7885,5
19447,7885,6
19491,19491,1
19493,19491,2
19494,19491,3
19505,19505,1
19557,19557,1
19558,19557,2
19579,19579,1
19603,19603,1
19605,19603,2
19606,19603,3
19607,19603,4
19608,19603,5
19647,19244,2
19648,19648,1
19650,19648,2
19661,19661,1
19662,19661,2
19663,19661,3
19664,19661,4
19731,19505,2
19734,19505,3
19736,19505,4
19740,19740,1
19742,19742,1
19750,19750,1
19834,19740,2
19835,19740,3
19836,19740,4
19837,19740,5
19838,19740,6
19850,19742,2
19852,19742,3
19853,19742,4
19854,19742,5
19870,19870,1
19871,19870,2
19876,19876,1
19888,19888,1
19891,19891,1
19895,19876,2
19896,19876,3
19897,19888,2
19898,19888,3
19899,19891,2
19900,19891,3
19939,19750,2
19940,19750,3
19941,19750,4
19942,19750,5
19943,19750,6
19970,19975,6
19971,19975,5
19972,19975,4
19973,19975,3
19974,19975,2
19975,19975,1
20043,20043,1
20116,26573,2
20190,20043,2
20194,20194,1
20195,20194,2
20233,20233,1
20236,20233,2
20243,20243,1
20249,20249,1
20250,20249,2
20251,20249,3
20253,20253,1
20322,20322,1
20323,20322,2
20324,20322,3
20326,20322,4
20327,20322,5
20381,20381,1
20382,20381,2
20383,20381,3
20384,20381,4
20385,20381,5
20386,20381,6
20387,20387,1
20388,20387,2
20389,20387,3
20390,20387,4
20391,20387,5
20392,20387,6
20393,20393,1
20394,20393,2
20395,20393,3
20396,20393,4
20403,20403,1
20404,20403,2
20405,20403,3
20406,20403,4
20429,20429,1
20430,20429,2
20431,20429,3
20432,20429,4
20433,20433,1
20434,20433,2
20473,20473,1
20484,20484,1
20569,845,5
20609,2008,2
20610,2008,3
20614,20253,2
20615,20253,3
20658,5308,2
20660,5308,3
20661,5308,4
20662,5308,5
20739,20484,2
20742,20484,3
20747,20484,4
20748,20484,5
20752,693,2
20755,693,3
20756,693,4
20757,693,5
20770,2006,5
20772,7328,4
20773,7328,5
20776,2008,4
20777,2008,5
20900,19434,2
20901,19434,3
20902,19434,4
20903,19434,5
20904,19434,6
20909,19306,2
20910,19306,3
20922,26573,3
20923,26573,4
20924,26573,5
20925,20925,1
20927,20925,2
20928,20925,3
20929,20473,2
20930,20473,3
21183,21183,1
21551,12294,2
21552,12294,3
21553,12294,4
21562,21562,1
21564,21562,2
21849,21849,1
21850,21849,2
22568,22568,1
22570,22570,1
22782,6117,2
22783,6117,3
22784,6121,2
22785,6121,3
22827,22568,2
22828,22568,3
22829,22568,4
23028,23028,1
23030,23030,1
23146,23146,1
23149,23146,2
23150,23146,3
23455,23455,1
23458,23455,2
23459,23455,3
23922,23922,1
23923,23922,2
23924,23922,3
23925,23922,4
24131,24131,1
24132,19386,2
24133,19386,3
24134,24131,2
24135,24131,3
24239,24275,3
24248,22568,6
24274,24275,2
24275,24275,1
24398,52127,7
24423,24423,1
24424,24424,1
24450,24450,1
24451,24451,1
24452,24450,2
24453,24450,3
24454,24451,2
24455,24451,3
24490,24490,1
24494,24494,1
24502,4548,2
24503,4548,3
24504,4548,4
24511,24494,2
24512,24494,3
24513,24494,4
24514,24490,2
24515,24490,3
24516,24490,4
24529,19579,2
24547,24547,1
24556,24547,2
24557,24547,3
24558,24547,4
24559,24547,5
24560,24547,6
24561,24547,7
24562,24547,8
24577,24423,2
24578,24423,3
24579,24423,4
24580,24424,2
24581,24424,3
24582,24424,4
24583,24640,2
24584,24641,2
24586,24640,3
24587,24640,4
24588,24641,3
24589,24641,4
24604,24604,1
24631,24547,9
24632,24547,10
24640,24640,1
24641,24641,1
24844,24844,1
24845,24845,1
24974,5570,2
24975,5570,3
24976,5570,4
24977,5570,5
25008,24844,2
25009,24844,3
25010,24844,4
25011,24844,5
25012,24844,6
25013,24845,2
25014,24845,3
25015,24845,4
25016,24845,5
25017,24845,6
25202,1160,6
25203,1160,7
25208,772,8
25210,2060,6
25213,2060,7
25217,17,11
25218,17,12
25221,139,11
25222,139,12
25229,25229,1
25230,25229,2
25231,845,6
25233,2061,8
25234,5308,6
25235,2061,9
25236,5308,7
25241,1464,5
25242,1464,6
25248,12294,5
25258,23922,5
25264,6343,7
25269,6572,7
25273,20253,4
25274,20253,5
25286,78,9
25288,6572,6
25289,6673,7
25290,19742,6
25291,19740,7
